"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){ (i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o), m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m) })(window,document,'script','//www.google-analytics.com/analytics.js','ga'); ga('create', 'UA-59933164-1', 'auto'); ga('send', 'pageview'); Chicago Board of Election Commissioners",,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%,
"959,986","784,206",81.69%,"160,971",16.77%,"5,107",0.53%,"2,263",0.24%,"1,134",0.12%,"6,305",0.66%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
56,433,425,98.15%,5,1.15%,2,0.46%,1,0.23%,0,0%,0,0%
Total,"21,857",20908,95.66%,735,3.36%,106,0.48%,47,0.22%,23,0.11%,38,0.17%
,,,,,,,,,,,,,
Ward 9,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,404,386,95.54%,14,3.47%,1,0.25%,0,0%,0,0%,3,0.74%
2,321,307,95.64%,9,2.80%,1,0.31%,2,0.62%,2,0.62%,0,0%
3,304,287,94.41%,13,4.28%,2,0.66%,1,0.33%,1,0.33%,0,0%
4,310,304,98.06%,3,0.97%,2,0.65%,0,0%,1,0.32%,0,0%
5,387,375,96.90%,7,1.81%,1,0.26%,2,0.52%,1,0.26%,1,0.26%
6,369,358,97.02%,9,2.44%,1,0.27%,0,0%,1,0.27%,0,0%
7,304,284,93.42%,17,5.59%,2,0.66%,0,0%,1,0.33%,0,0%
8,392,372,94.90%,15,3.83%,3,0.77%,1,0.26%,0,0%,1,0.26%
9,473,460,97.25%,10,2.11%,1,0.21%,2,0.42%,0,0%,0,0%
10,310,301,97.10%,7,2.26%,1,0.32%,0,0%,1,0.32%,0,0%
11,284,269,94.72%,14,4.93%,0,0%,0,0%,1,0.35%,0,0%
12,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
13,447,434,97.09%,12,2.68%,1,0.22%,0,0%,0,0%,0,0%
14,444,426,95.95%,16,3.60%,1,0.23%,1,0.23%,0,0%,0,0%
15,530,495,93.40%,28,5.28%,2,0.38%,2,0.38%,1,0.19%,2,0.38%
16,361,345,95.57%,12,3.32%,1,0.28%,1,0.28%,1,0.28%,1,0.28%
17,323,307,95.05%,10,3.10%,3,0.93%,1,0.31%,1,0.31%,1,0.31%
18,294,288,97.96%,4,1.36%,0,0%,2,0.68%,0,0%,0,0%
19,381,370,97.11%,7,1.84%,2,0.52%,1,0.26%,1,0.26%,0,0%
20,371,355,95.69%,9,2.43%,3,0.81%,3,0.81%,1,0.27%,0,0%
21,386,368,95.34%,17,4.40%,0,0%,0,0%,0,0%,1,0.26%
22,420,392,93.33%,25,5.95%,3,0.71%,0,0%,0,0%,0,0%
23,423,408,96.45%,10,2.36%,2,0.47%,2,0.47%,1,0.24%,0,0%
24,396,377,95.20%,16,4.04%,0,0%,1,0.25%,1,0.25%,1,0.25%
25,379,366,96.57%,9,2.37%,1,0.26%,1,0.26%,0,0%,2,0.53%
26,516,485,93.99%,24,4.65%,2,0.39%,3,0.58%,1,0.19%,1,0.19%
27,340,328,96.47%,8,2.35%,2,0.59%,1,0.29%,1,0.29%,0,0%
28,259,234,90.35%,25,9.65%,0,0%,0,0%,0,0%,0,0%
29,358,340,94.97%,15,4.19%,2,0.56%,0,0%,0,0%,1,0.28%
30,337,316,93.77%,21,6.23%,0,0%,0,0%,0,0%,0,0%
31,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
32,395,376,95.19%,17,4.30%,2,0.51%,0,0%,0,0%,0,0%
33,316,300,94.94%,14,4.43%,2,0.63%,0,0%,0,0%,0,0%
34,344,324,94.19%,16,4.65%,3,0.87%,0,0%,0,0%,1,0.29%
35,358,340,94.97%,12,3.35%,2,0.56%,2,0.56%,0,0%,2,0.56%
36,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
37,595,506,85.04%,77,12.94%,7,1.18%,3,0.50%,0,0%,2,0.34%
38,393,376,95.67%,12,3.05%,3,0.76%,1,0.25%,1,0.25%,0,0%
39,421,412,97.86%,8,1.90%,0,0%,1,0.24%,0,0%,0,0%
40,438,423,96.58%,12,2.74%,1,0.23%,2,0.46%,0,0%,0,0%
41,345,330,95.65%,12,3.48%,2,0.58%,1,0.29%,0,0%,0,0%
42,404,388,96.04%,13,3.22%,3,0.74%,0,0%,0,0%,0,0%
43,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
44,340,332,97.65%,8,2.35%,0,0%,0,0%,0,0%,0,0%
45,338,326,96.45%,8,2.37%,3,0.89%,1,0.30%,0,0%,0,0%
46,371,346,93.26%,20,5.39%,4,1.08%,0,0%,0,0%,1,0.27%
47,404,393,97.28%,5,1.24%,4,0.99%,0,0%,0,0%,2,0.50%
48,419,404,96.42%,13,3.10%,1,0.24%,0,0%,1,0.24%,0,0%
49,433,419,96.77%,11,2.54%,0,0%,0,0%,0,0%,3,0.69%
50,560,537,95.89%,18,3.21%,3,0.54%,0,0%,1,0.18%,1,0.18%
51,374,360,96.26%,11,2.94%,1,0.27%,1,0.27%,1,0.27%,0,0%
Total,"18,071",17229,95.34%,673,3.72%,81,0.45%,39,0.22%,22,0.12%,27,0.15%
,,,,,,,,,,,,,
Ward 10,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,356,323,90.73%,28,7.87%,1,0.28%,1,0.28%,0,0%,3,0.84%
2,429,249,58.04%,173,40.33%,4,0.93%,0,0%,1,0.23%,2,0.47%
3,478,306,64.02%,167,34.94%,3,0.63%,0,0%,0,0%,2,0.42%
4,336,304,90.48%,29,8.63%,0,0%,2,0.60%,0,0%,1,0.30%
5,374,234,62.57%,133,35.56%,3,0.80%,2,0.53%,0,0%,2,0.53%
6,371,283,76.28%,84,22.64%,1,0.27%,2,0.54%,0,0%,1,0.27%
7,328,267,81.40%,56,17.07%,1,0.30%,2,0.61%,0,0%,2,0.61%
8,250,228,91.20%,19,7.60%,2,0.80%,0,0%,0,0%,1,0.40%
9,427,266,62.30%,159,37.24%,0,0%,1,0.23%,0,0%,1,0.23%
10,489,351,71.78%,132,26.99%,1,0.20%,1,0.20%,1,0.20%,3,0.61%
11,531,412,77.59%,109,20.53%,1,0.19%,6,1.13%,0,0%,3,0.56%
12,313,230,73.48%,80,25.56%,0,0%,1,0.32%,1,0.32%,1,0.32%
13,401,346,86.28%,50,12.47%,1,0.25%,0,0%,1,0.25%,3,0.75%
14,559,438,78.35%,116,20.75%,3,0.54%,1,0.18%,0,0%,1,0.18%
15,725,697,96.14%,21,2.90%,4,0.55%,2,0.28%,0,0%,1,0.14%
16,346,232,67.05%,106,30.64%,6,1.73%,0,0%,0,0%,2,0.58%
17,583,364,62.44%,207,35.51%,6,1.03%,2,0.34%,0,0%,4,0.69%
18,259,241,93.05%,15,5.79%,1,0.39%,1,0.39%,0,0%,1,0.39%
19,459,321,69.93%,133,28.98%,3,0.65%,0,0%,1,0.22%,1,0.22%
20,453,352,77.70%,96,21.19%,2,0.44%,2,0.44%,0,0%,1,0.22%
21,452,326,72.12%,119,26.33%,3,0.66%,3,0.66%,1,0.22%,0,0%
22,260,209,80.38%,47,18.08%,0,0%,0,0%,2,0.77%,2,0.77%
23,390,319,81.79%,65,16.67%,6,1.54%,0,0%,0,0%,0,0%
24,455,268,58.90%,183,40.22%,2,0.44%,0,0%,0,0%,2,0.44%
25,117,111,94.87%,4,3.42%,0,0%,1,0.85%,0,0%,1,0.85%
26,309,264,85.44%,39,12.62%,2,0.65%,2,0.65%,0,0%,2,0.65%
27,388,353,90.98%,33,8.51%,0,0%,1,0.26%,0,0%,1,0.26%
28,496,406,81.85%,85,17.14%,3,0.60%,1,0.20%,0,0%,1,0.20%
29,470,382,81.28%,81,17.23%,2,0.43%,1,0.21%,1,0.21%,3,0.64%
30,394,309,78.43%,74,18.78%,1,0.25%,6,1.52%,1,0.25%,3,0.76%
31,362,310,85.64%,50,13.81%,1,0.28%,1,0.28%,0,0%,0,0%
32,460,345,75.00%,112,24.35%,0,0%,2,0.43%,0,0%,1,0.22%
33,339,285,84.07%,50,14.75%,1,0.29%,2,0.59%,0,0%,1,0.29%
34,317,280,88.33%,34,10.73%,1,0.32%,2,0.63%,0,0%,0,0%
35,473,304,64.27%,163,34.46%,2,0.42%,3,0.63%,0,0%,1,0.21%
36,112,97,86.61%,14,12.50%,1,0.89%,0,0%,0,0%,0,0%
Total,"14,261",11012,77.22%,3066,21.50%,68,0.48%,51,0.36%,10,0.07%,54,0.38%
,,,,,,,,,,,,,
Ward 11,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,514,346,67.32%,156,30.35%,3,0.58%,2,0.39%,2,0.39%,5,0.97%
2,51,39,76.47%,12,23.53%,0,0%,0,0%,0,0%,0,0%
3,474,424,89.45%,38,8.02%,5,1.05%,3,0.63%,2,0.42%,2,0.42%
4,428,298,69.63%,125,29.21%,1,0.23%,2,0.47%,0,0%,2,0.47%
5,640,482,75.31%,133,20.78%,13,2.03%,4,0.63%,4,0.63%,4,0.63%
6,724,606,83.70%,109,15.06%,2,0.28%,0,0%,0,0%,7,0.97%
7,482,425,88.17%,50,10.37%,3,0.62%,1,0.21%,0,0%,3,0.62%
8,479,345,72.03%,127,26.51%,1,0.21%,1,0.21%,2,0.42%,3,0.63%
9,471,304,64.54%,155,32.91%,2,0.42%,1,0.21%,2,0.42%,7,1.49%
10,515,326,63.30%,182,35.34%,3,0.58%,1,0.19%,1,0.19%,2,0.39%
11,576,384,66.67%,184,31.94%,3,0.52%,1,0.17%,1,0.17%,3,0.52%
12,727,310,42.64%,406,55.85%,4,0.55%,1,0.14%,1,0.14%,5,0.69%
13,672,287,42.71%,371,55.21%,4,0.60%,2,0.30%,1,0.15%,7,1.04%
14,350,195,55.71%,151,43.14%,2,0.57%,0,0%,1,0.29%,1,0.29%
15,204,140,68.63%,60,29.41%,1,0.49%,1,0.49%,1,0.49%,1,0.49%
16,397,237,59.70%,150,37.78%,2,0.50%,2,0.50%,2,0.50%,4,1.01%
17,594,439,73.91%,140,23.57%,9,1.52%,1,0.17%,1,0.17%,4,0.67%
18,435,255,58.62%,170,39.08%,6,1.38%,0,0%,2,0.46%,2,0.46%
19,667,485,72.71%,159,23.84%,8,1.20%,3,0.45%,3,0.45%,9,1.35%
20,389,225,57.84%,159,40.87%,3,0.77%,1,0.26%,0,0%,1,0.26%
21,631,344,54.52%,274,43.42%,3,0.48%,1,0.16%,1,0.16%,8,1.27%
22,608,397,65.30%,201,33.06%,1,0.16%,3,0.49%,1,0.16%,5,0.82%
23,280,157,56.07%,112,40.00%,3,1.07%,2,0.71%,0,0%,6,2.14%
24,568,317,55.81%,240,42.25%,4,0.70%,0,0%,0,0%,7,1.23%
25,636,443,69.65%,176,27.67%,7,1.10%,3,0.47%,1,0.16%,6,0.94%
26,535,346,64.67%,173,32.34%,7,1.31%,4,0.75%,0,0%,5,0.93%
27,206,125,60.68%,75,36.41%,2,0.97%,1,0.49%,0,0%,3,1.46%
28,265,134,50.57%,126,47.55%,1,0.38%,0,0%,1,0.38%,3,1.13%
29,599,322,53.76%,266,44.41%,5,0.83%,0,0%,0,0%,6,1.00%
30,285,170,59.65%,115,40.35%,0,0%,0,0%,0,0%,0,0%
31,541,274,50.65%,264,48.80%,2,0.37%,0,0%,0,0%,1,0.18%
32,235,98,41.70%,132,56.17%,2,0.85%,0,0%,0,0%,3,1.28%
33,580,443,76.38%,125,21.55%,4,0.69%,0,0%,2,0.34%,6,1.03%
34,227,135,59.47%,91,40.09%,0,0%,0,0%,0,0%,1,0.44%
35,123,73,59.35%,48,39.02%,0,0%,0,0%,1,0.81%,1,0.81%
36,238,141,59.24%,93,39.08%,4,1.68%,0,0%,0,0%,0,0%
37,176,131,74.43%,42,23.86%,1,0.57%,1,0.57%,0,0%,1,0.57%
38,235,197,83.83%,31,13.19%,5,2.13%,0,0%,0,0%,2,0.85%
Total,"16,757",10799,64.44%,5621,33.54%,126,0.75%,42,0.25%,33,0.20%,136,0.81%
,,,,,,,,,,,,,
Ward 12,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,433,335,77.37%,86,19.86%,3,0.69%,6,1.39%,0,0%,3,0.69%
2,405,327,80.74%,72,17.78%,3,0.74%,2,0.49%,0,0%,1,0.25%
3,529,429,81.10%,88,16.64%,3,0.57%,3,0.57%,0,0%,6,1.13%
4,492,377,76.63%,98,19.92%,8,1.63%,4,0.81%,1,0.20%,4,0.81%
5,418,277,66.27%,134,32.06%,1,0.24%,1,0.24%,3,0.72%,2,0.48%
6,547,421,76.97%,111,20.29%,5,0.91%,0,0%,2,0.37%,8,1.46%
7,420,371,88.33%,33,7.86%,7,1.67%,4,0.95%,2,0.48%,3,0.71%
8,457,352,77.02%,96,21.01%,5,1.09%,2,0.44%,0,0%,2,0.44%
9,386,290,75.13%,85,22.02%,3,0.78%,3,0.78%,1,0.26%,4,1.04%
10,537,484,90.13%,41,7.64%,6,1.12%,3,0.56%,1,0.19%,2,0.37%
11,492,393,79.88%,95,19.31%,0,0%,4,0.81%,0,0%,0,0%
12,450,361,80.22%,84,18.67%,4,0.89%,1,0.22%,0,0%,0,0%
13,488,382,78.28%,102,20.90%,1,0.20%,1,0.20%,1,0.20%,1,0.20%
14,406,364,89.66%,38,9.36%,1,0.25%,0,0%,1,0.25%,2,0.49%
15,393,342,87.02%,45,11.45%,4,1.02%,2,0.51%,0,0%,0,0%
16,394,343,87.06%,46,11.68%,1,0.25%,0,0%,0,0%,4,1.02%
17,504,402,79.76%,90,17.86%,2,0.40%,5,0.99%,0,0%,5,0.99%
18,356,310,87.08%,32,8.99%,4,1.12%,6,1.69%,2,0.56%,2,0.56%
19,418,328,78.47%,82,19.62%,3,0.72%,4,0.96%,0,0%,1,0.24%
20,507,406,80.08%,95,18.74%,1,0.20%,2,0.39%,0,0%,3,0.59%
21,471,388,82.38%,74,15.71%,2,0.42%,2,0.42%,0,0%,5,1.06%
22,405,349,86.17%,41,10.12%,10,2.47%,3,0.74%,1,0.25%,1,0.25%
23,452,359,79.42%,85,18.81%,2,0.44%,2,0.44%,0,0%,4,0.88%
Total,"10,360",8390,80.98%,1753,16.92%,79,0.76%,60,0.58%,15,0.14%,63,0.61%
,,,,,,,,,,,,,
Ward 13,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,392,228,58.16%,157,40.05%,3,0.77%,0,0%,1,0.26%,3,0.77%
2,338,170,50.30%,165,48.82%,1,0.30%,1,0.30%,0,0%,1,0.30%
3,325,266,81.85%,51,15.69%,2,0.62%,2,0.62%,1,0.31%,3,0.92%
4,438,224,51.14%,209,47.72%,3,0.68%,2,0.46%,0,0%,0,0%
5,458,365,79.69%,85,18.56%,3,0.66%,0,0%,0,0%,5,1.09%
6,386,179,46.37%,203,52.59%,2,0.52%,0,0%,0,0%,2,0.52%
7,324,232,71.60%,79,24.38%,3,0.93%,5,1.54%,0,0%,5,1.54%
8,311,197,63.34%,113,36.33%,0,0%,1,0.32%,0,0%,0,0%
9,405,312,77.04%,85,20.99%,7,1.73%,1,0.25%,0,0%,0,0%
10,369,143,38.75%,220,59.62%,1,0.27%,0,0%,1,0.27%,4,1.08%
11,451,265,58.76%,185,41.02%,0,0%,0,0%,0,0%,1,0.22%
12,349,246,70.49%,96,27.51%,5,1.43%,0,0%,0,0%,2,0.57%
13,381,291,76.38%,88,23.10%,0,0%,1,0.26%,1,0.26%,0,0%
14,366,267,72.95%,91,24.86%,4,1.09%,1,0.27%,1,0.27%,2,0.55%
15,564,458,81.21%,96,17.02%,5,0.89%,2,0.35%,1,0.18%,2,0.35%
16,283,237,83.75%,45,15.90%,0,0%,0,0%,0,0%,1,0.35%
17,348,214,61.49%,129,37.07%,4,1.15%,0,0%,0,0%,1,0.29%
18,336,174,51.79%,156,46.43%,3,0.89%,0,0%,0,0%,3,0.89%
19,486,414,85.19%,59,12.14%,4,0.82%,7,1.44%,0,0%,2,0.41%
20,288,133,46.18%,153,53.13%,0,0%,0,0%,0,0%,2,0.69%
21,459,211,45.97%,242,52.72%,2,0.44%,0,0%,2,0.44%,2,0.44%
22,448,211,47.10%,229,51.12%,4,0.89%,0,0%,1,0.22%,3,0.67%
23,310,241,77.74%,62,20.00%,1,0.32%,3,0.97%,1,0.32%,2,0.65%
24,398,277,69.60%,118,29.65%,2,0.50%,1,0.25%,0,0%,0,0%
25,398,301,75.63%,92,23.12%,2,0.50%,2,0.50%,0,0%,1,0.25%
26,406,259,63.79%,138,33.99%,2,0.49%,3,0.74%,0,0%,4,0.99%
27,396,250,63.13%,142,35.86%,1,0.25%,0,0%,0,0%,3,0.76%
28,304,237,77.96%,66,21.71%,1,0.33%,0,0%,0,0%,0,0%
29,305,215,70.49%,90,29.51%,0,0%,0,0%,0,0%,0,0%
30,323,280,86.69%,39,12.07%,3,0.93%,0,0%,0,0%,1,0.31%
31,448,216,48.21%,227,50.67%,0,0%,1,0.22%,0,0%,4,0.89%
32,365,152,41.64%,210,57.53%,0,0%,0,0%,0,0%,3,0.82%
33,384,181,47.14%,195,50.78%,2,0.52%,1,0.26%,1,0.26%,4,1.04%
34,385,333,86.49%,49,12.73%,1,0.26%,1,0.26%,0,0%,1,0.26%
35,354,263,74.29%,83,23.45%,3,0.85%,1,0.28%,1,0.28%,3,0.85%
36,274,220,80.29%,50,18.25%,1,0.36%,2,0.73%,0,0%,1,0.36%
37,386,309,80.05%,73,18.91%,2,0.52%,2,0.52%,0,0%,0,0%
38,342,167,48.83%,172,50.29%,1,0.29%,0,0%,0,0%,2,0.58%
39,373,292,78.28%,75,20.11%,5,1.34%,0,0%,0,0%,1,0.27%
40,403,272,67.49%,123,30.52%,2,0.50%,2,0.50%,0,0%,4,0.99%
41,465,398,85.59%,60,12.90%,3,0.65%,2,0.43%,0,0%,2,0.43%
42,419,194,46.30%,221,52.74%,0,0%,0,0%,1,0.24%,3,0.72%
43,412,281,68.20%,123,29.85%,5,1.21%,0,0%,0,0%,3,0.73%
44,384,320,83.33%,59,15.36%,2,0.52%,1,0.26%,2,0.52%,0,0%
45,427,250,58.55%,171,40.05%,3,0.70%,2,0.47%,0,0%,1,0.23%
46,451,337,74.72%,102,22.62%,0,0%,6,1.33%,0,0%,6,1.33%
47,461,372,80.69%,80,17.35%,4,0.87%,5,1.08%,0,0%,0,0%
48,361,197,54.57%,160,44.32%,3,0.83%,0,0%,0,0%,1,0.28%
Total,"18,439",12251,66.44%,5916,32.08%,105,0.57%,58,0.31%,15,0.08%,94,0.51%
,,,,,,,,,,,,,
Ward 14,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,510,220,43.14%,286,56.08%,1,0.20%,0,0%,0,0%,3,0.59%
2,550,439,79.82%,105,19.09%,2,0.36%,1,0.18%,2,0.36%,1,0.18%
3,415,349,84.10%,63,15.18%,2,0.48%,0,0%,0,0%,1,0.24%
4,461,223,48.37%,232,50.33%,1,0.22%,0,0%,1,0.22%,4,0.87%
5,611,530,86.74%,75,12.27%,1,0.16%,3,0.49%,0,0%,2,0.33%
6,227,193,85.02%,30,13.22%,3,1.32%,0,0%,1,0.44%,0,0%
7,553,444,80.29%,102,18.44%,3,0.54%,2,0.36%,1,0.18%,1,0.18%
8,538,403,74.91%,122,22.68%,2,0.37%,6,1.12%,2,0.37%,3,0.56%
9,573,322,56.20%,245,42.76%,3,0.52%,1,0.17%,0,0%,2,0.35%
10,310,237,76.45%,69,22.26%,1,0.32%,1,0.32%,0,0%,2,0.65%
11,245,212,86.53%,32,13.06%,1,0.41%,0,0%,0,0%,0,0%
12,481,345,71.73%,132,27.44%,3,0.62%,1,0.21%,0,0%,0,0%
13,378,300,79.37%,70,18.52%,5,1.32%,1,0.26%,0,0%,2,0.53%
14,416,344,82.69%,65,15.63%,2,0.48%,1,0.24%,1,0.24%,3,0.72%
15,451,393,87.14%,53,11.75%,1,0.22%,3,0.67%,0,0%,1,0.22%
16,315,248,78.73%,65,20.63%,2,0.63%,0,0%,0,0%,0,0%
17,376,302,80.32%,70,18.62%,1,0.27%,1,0.27%,0,0%,2,0.53%
18,204,145,71.08%,56,27.45%,2,0.98%,1,0.49%,0,0%,0,0%
19,406,340,83.74%,56,13.79%,3,0.74%,5,1.23%,0,0%,2,0.49%
20,337,266,78.93%,63,18.69%,2,0.59%,1,0.30%,1,0.30%,4,1.19%
21,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,624,402,64.42%,214,34.29%,2,0.32%,3,0.48%,0,0%,3,0.48%
23,376,254,67.55%,121,32.18%,0,0%,0,0%,0,0%,1,0.27%
24,536,274,51.12%,258,48.13%,1,0.19%,0,0%,1,0.19%,2,0.37%
25,251,208,82.87%,38,15.14%,3,1.20%,1,0.40%,0,0%,1,0.40%
26,332,300,90.36%,27,8.13%,1,0.30%,0,0%,3,0.90%,1,0.30%
27,440,323,73.41%,100,22.73%,4,0.91%,5,1.14%,1,0.23%,7,1.59%
28,361,269,74.52%,81,22.44%,1,0.28%,3,0.83%,3,0.83%,4,1.11%
29,320,267,83.44%,48,15.00%,4,1.25%,1,0.31%,0,0%,0,0%
30,283,256,90.46%,25,8.83%,0,0%,1,0.35%,1,0.35%,0,0%
31,218,174,79.82%,38,17.43%,4,1.83%,1,0.46%,0,0%,1,0.46%
Total,"12,098",8982,74.24%,2941,24.31%,61,0.50%,43,0.36%,18,0.15%,53,0.44%
,,,,,,,,,,,,,
Ward 15,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,379,317,83.64%,49,12.93%,3,0.79%,5,1.32%,2,0.53%,3,0.79%
2,249,239,95.98%,9,3.61%,0,0%,0,0%,1,0.40%,0,0%
3,269,260,96.65%,7,2.60%,1,0.37%,1,0.37%,0,0%,0,0%
4,427,364,85.25%,55,12.88%,3,0.70%,2,0.47%,0,0%,3,0.70%
5,420,353,84.05%,58,13.81%,5,1.19%,1,0.24%,0,0%,3,0.71%
6,442,357,80.77%,75,16.97%,4,0.90%,4,0.90%,1,0.23%,1,0.23%
7,262,247,94.27%,11,4.20%,4,1.53%,0,0%,0,0%,0,0%
8,418,351,83.97%,62,14.83%,1,0.24%,1,0.24%,1,0.24%,2,0.48%
9,532,453,85.15%,72,13.53%,2,0.38%,2,0.38%,1,0.19%,2,0.38%
10,594,471,79.29%,110,18.52%,4,0.67%,4,0.67%,0,0%,5,0.84%
11,513,417,81.29%,91,17.74%,1,0.19%,3,0.58%,0,0%,1,0.19%
12,507,410,80.87%,89,17.55%,4,0.79%,2,0.39%,0,0%,2,0.39%
13,420,349,83.10%,59,14.05%,7,1.67%,1,0.24%,0,0%,4,0.95%
14,383,333,86.95%,46,12.01%,0,0%,2,0.52%,1,0.26%,1,0.26%
15,395,332,84.05%,58,14.68%,0,0%,3,0.76%,1,0.25%,1,0.25%
16,489,421,86.09%,60,12.27%,3,0.61%,3,0.61%,0,0%,2,0.41%
17,261,242,92.72%,12,4.60%,3,1.15%,0,0%,1,0.38%,3,1.15%
18,232,216,93.10%,15,6.47%,1,0.43%,0,0%,0,0%,0,0%
19,332,293,88.25%,33,9.94%,5,1.51%,0,0%,0,0%,1,0.30%
20,263,252,95.82%,10,3.80%,0,0%,0,0%,0,0%,1,0.38%
21,222,212,95.50%,8,3.60%,1,0.45%,1,0.45%,0,0%,0,0%
22,271,247,91.14%,19,7.01%,2,0.74%,0,0%,2,0.74%,1,0.37%
23,286,276,96.50%,7,2.45%,3,1.05%,0,0%,0,0%,0,0%
24,273,252,92.31%,16,5.86%,3,1.10%,2,0.73%,0,0%,0,0%
Total,"8,839",7664,86.71%,1031,11.66%,60,0.68%,37,0.42%,11,0.12%,36,0.41%
,,,,,,,,,,,,,
Ward 16,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,477,406,85.12%,59,12.37%,5,1.05%,2,0.42%,1,0.21%,4,0.84%
2,330,306,92.73%,21,6.36%,2,0.61%,1,0.30%,0,0%,0,0%
3,294,277,94.22%,15,5.10%,1,0.34%,1,0.34%,0,0%,0,0%
4,358,332,92.74%,20,5.59%,4,1.12%,1,0.28%,0,0%,1,0.28%
5,232,218,93.97%,9,3.88%,2,0.86%,1,0.43%,2,0.86%,0,0%
6,299,287,95.99%,8,2.68%,2,0.67%,2,0.67%,0,0%,0,0%
7,311,293,94.21%,16,5.14%,1,0.32%,0,0%,1,0.32%,0,0%
8,226,211,93.36%,12,5.31%,1,0.44%,2,0.88%,0,0%,0,0%
9,301,292,97.01%,7,2.33%,0,0%,1,0.33%,0,0%,1,0.33%
10,263,251,95.44%,11,4.18%,0,0%,0,0%,1,0.38%,0,0%
11,348,320,91.95%,22,6.32%,5,1.44%,0,0%,0,0%,1,0.29%
12,303,278,91.75%,17,5.61%,1,0.33%,6,1.98%,0,0%,1,0.33%
13,384,345,89.84%,28,7.29%,4,1.04%,3,0.78%,2,0.52%,2,0.52%
14,261,243,93.10%,12,4.60%,4,1.53%,2,0.77%,0,0%,0,0%
